Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
64,19359,32673,0.407492424938,2505,4124,0.392580019399,1085,1062,0.0216572504708,2524,3649,0.308303644834,1929,1433,0.346127006281,95,1293,0.92652745553,9300,639,13.5539906103,0.5891293205268201,44873,44873,44873,47.203252032520325,36797,0,0.45608717937289683
65,19419,32748,0.407017222426,2570,4194,0.387219837864,1112,1065,0.0441314553991,2572,3693,0.303547251557,1972,1442,0.367545076283,99,1332,0.925675675676,9291,658,13.1200607903,0.587543206593991,45132,45132,45132,47.6869918699187,37035,0,0.4552424000709031
66,19480,32822,0.406495643166,2632,4263,0.382594417077,1157,1068,0.0833333333333,2660,3736,0.28800856531,2021,1452,0.391873278237,104,1371,0.924142961342,9283,678,12.691740413,0.5855695087023574,45390,45390,45390,48.300813008130085,37337,0,0.4565102445472571
67,19520,32897,0.406632823662,2701,4332,0.376500461681,1200,1070,0.121495327103,2735,3780,0.276455026455,2072,1462,0.417236662107,109,1411,0.922749822821,9271,697,12.3012912482,0.5842187123485728,45649,45649,45649,48.85162601626016,37608,0,0.4574032289863962
68,19576,32971,0.406266112644,2755,4401,0.374005907748,1237,1073,0.15284249767,2817,3823,0.263144127648,2120,1471,0.44119646499,113,1450,0.922068965517,9263,716,11.937150838,0.5825944886177976,45905,45905,45905,49.40567951318459,37881,0,0.45835965581091387
69,19630,33046,0.405979543666,2825,4470,0.368008948546,1273,1076,0.183085501859,2884,3867,0.254202223946,2167,1481,0.463200540176,118,1489,0.920752182673,9255,736,11.5747282609,0.5808946171341925,46165,46165,46165,49.9553752535497,38152,0,0.4585725116430196
70,19689,33120,0.405525362319,2881,4540,0.365418502203,1306,1078,0.211502782931,2952,3910,0.245012787724,2222,1490,0.491275167785,127,1528,0.916884816754,9237,755,11.2344370861,0.5792852372848495,46421,46421,46421,50.4868154158215,38414,0,0.45871480579909957
71,19737,33195,0.405422503389,2949,4609,0.360164894771,1348,1081,0.246993524514,3020,3954,0.236216489631,2271,1500,0.514,133,1567,0.915124441608,9224,775,10.9019354839,0.5778153852745228,46681,46681,46681,51.030425963488845,38682,0,0.45913755060945566
72,19802,33269,0.404791247107,3021,4678,0.354211201368,1386,1084,0.278597785978,3107,3998,0.222861430715,2315,1510,0.533112582781,136,1607,0.915370255134,9213,794,10.6032745592,0.5754580315296123,46940,46940,46940,51.63488843813387,38980,0,0.45969322539412016
73,19854,33343,0.404552679723,3084,4747,0.350326522014,1414,1087,0.300827966881,3187,4041,0.21133382826,2362,1519,0.554970375247,139,1646,0.915552855407,9206,813,10.3234932349,0.5736926858208323,47196,47196,47196,52.175152749490834,39246,0,0.46022968048139673
74,19899,33418,0.404542462146,3141,4816,0.347799003322,1457,1089,0.337924701561,3271,4085,0.199265605875,2399,1529,0.568999345978,142,1685,0.915727002967,9203,833,10.0480192077,0.5723106100516279,47455,47455,47455,52.716904276985744,39512,0,0.46132125171214833
75,19944,33492,0.404514510928,3223,4886,0.340360212853,1495,1092,0.369047619048,3343,4128,0.190164728682,2438,1538,0.585175552666,148,1724,0.914153132251,9192,852,9.78873239437,0.5704015761234071,47712,47712,47712,53.26720647773279,39783,0,0.4613514419852448
76,20002,33567,0.404117138857,3276,4955,0.338849646821,1537,1095,0.403652968037,3398,4172,0.18552253116,2471,1548,0.596253229974,155,1763,0.912081678956,9392,871,9.78300803674,0.5735131642033728,47971,47971,47971,54.174089068825914,40231,0,0.4672197786162473
77,20036,33641,0.404417228977,3355,5024,0.332205414013,1569,1097,0.430264357338,3448,4216,0.182163187856,2490,1558,0.598202824134,164,1803,0.909040488075,9380,891,9.52749719416,0.5717188471905453,48230,48230,48230,54.60121457489878,40442,0,0.46589259796806964
78,20082,33716,0.404377743505,3419,5093,0.328686432358,1607,1100,0.460909090909,3510,4259,0.17586287861,2528,1567,0.613273771538,175,1842,0.904994571118,9370,910,9.2967032967,0.5702971930620578,48487,48487,48487,55.10569105691057,40691,0,0.4657537071792439
79,20130,33790,0.404261615863,3494,5163,0.323261669572,1636,1103,0.483227561197,3561,4303,0.172437834069,2553,1577,0.618896639188,179,1881,0.904837852206,9363,930,9.06774193548,0.5685478080702402,48747,48747,48747,55.5630081300813,40916,0,0.46466449217387734
